Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,market_cap,total_volume
1.53861E+12,04-10-18,ETHUSDT,220.67,227.16,219.49,222.66,158137.4297,35468959.26,64786,,
1.53852E+12,03-10-18,ETHUSDT,225.7,226.43,216.51,220.77,275609.2622,60784387.7,112473,,
1.53844E+12,02-10-18,ETHUSDT,231.62,232.51,223.37,225.69,401305.3271,91706335.34,148279,,
1.53835E+12,01-10-18,ETHUSDT,233.04,235.88,224.46,231.61,322900.4613,74363466.52,120621,,
1.53827E+12,30-09-18,ETHUSDT,231.62,239,226.5,232.94,432195.4408,100778882,164400,,
1.53818E+12,29-09-18,ETHUSDT,221.89,237.77,214.18,231.62,604000.9559,137238908.4,193800,,
1.53809E+12,28-09-18,ETHUSDT,229.1,234.42,215.53,221.84,618434.6249,139637602.1,196556,,
1.53801E+12,27-09-18,ETHUSDT,214.38,234,205.01,229.13,582274.4409,128104933.4,185910,,
1.53792E+12,26-09-18,ETHUSDT,219.5,223.6,207.5,214.42,613754.2774,132187818.9,200388,,
1.53783E+12,25-09-18,ETHUSDT,228.06,228.1,203.61,219.62,710650.7097,151991600.9,241874,,
1.53775E+12,24-09-18,ETHUSDT,244.54,246.2,225.3,228.06,350139.1505,82504630.52,122214,,
1.53766E+12,23-09-18,ETHUSDT,241.01,249.73,237,244.5,235214.1492,57084614.93,86877,,
1.53757E+12,22-09-18,ETHUSDT,247.67,255.13,232.7,241.01,423740.7403,102510891.9,127522,,
1.53749E+12,21-09-18,ETHUSDT,224,252.11,220.66,247.73,841029.1295,195225669.8,257566,,
1.5374E+12,20-09-18,ETHUSDT,209.79,226.68,205.56,224,573632.2424,121706784.8,172813,,
1.53732E+12,19-09-18,ETHUSDT,208.42,214.84,197.58,209.79,496100.4664,103133667.4,128769,,
1.53723E+12,18-09-18,ETHUSDT,196.25,215.47,193.47,208.17,584366.1501,118777847.6,167048,,
1.53714E+12,17-09-18,ETHUSDT,220.24,225,192.4,196.16,825020.7745,173019109.9,224178,,
